Data;Tipos;ARÁBICA;CONILLON;SOLÚVEL;TORRADO;TOTAL
janeiro-23;Sacas;2445470;75853;315398;3109;2839830
janeiro-23;Receita;542206570,2;10699713,84;61175147,77;1371916,24;615453348,1
fevereiro-23;Sacas;2056006;87500;280295;3878;2427679
fevereiro-23;Receita;448928110,7;11672035,76;51891894,77;1857879,79;514349921
março-23;Sacas;2693934;107267;299325;3840;3104366
março-23;Receita;600474028,8;15695264,58;57115113,83;1965468,7;675249875,9
abril-23;Sacas;2313348;124206;315280;4324;2757158
abril-23;Receita;534081981,5;17993383,78;61141330,87;2306986,4;615523682,6
maio-23;Sacas;1990380;131689;311497;4169;2437735
maio-23;Receita;466333905,2;18792396,1;60343542,28;1918171,5;547388015,1
junho-23;Sacas;2062196;230703;331201;5132;2629232
junho-23;Receita;489193538,1;33993803,93;62461360,84;2792248,86;588440951,8
julho-23;Sacas;2204631;494527;308693;3778;3011629
julho-23;Receita;492230774;75596326,07;60714864,92;1930072,29;630472037,3
agosto-23;Sacas;2661207;703868;335375;7220;3707670
agosto-23;Receita;552871111;107523323,3;65030205,16;3846365,49;729271004,9
setembro-23;Sacas;2421076;647088;276870;3340;3348374
setembro-23;Receita;491471542,6;100232105,3;53829910,82;1783616,42;647317175,1
outubro-23;Sacas;3446935;686616;279095;3578;4416224
outubro-23;Receita;695004472;104608304,7;55251778,84;1864338;856728893,5
novembro-23;Sacas;3278414;902266;237309;4227;4422216
novembro-23;Receita;646231730,9;129070823,3;47927213,28;2487975,06;825717742,6
dezembro-23;Sacas;3271514;535734;331743;4669;4143660
dezembro-23;Receita;659586723,8;77987648,24;65637137,35;1938687,41;805150196,8
