Unidades Receita Federal;Volume Despacho;Part.(%);Volume Embarque;Part.(%)
SANTOS/SP;24.292.606;61,9;28.157.272;71,7
RIO DE JANEIRO;6.055.523;15,4;9.544.699;24,3
RIO DE JANEIRO/RJ;5.318.602;13,6;7.668.772;19,5
SEPETIBA/RJ;736.921;1,9;1.875.927;4,8
VITÓRIA/ES;4.980.623;12,7;30.552;0,1
PARANAGUÁ/PR;521.102;1,3;521.102;1,3
SALVADOR/BA;272.407;0,7;247.197;0,6
REDEX e EADI (MINAS GERAIS);2.318.896;5,9;-   ;-
RODOVIÁRIO;655.420;1,7;720.899;1,8
OUTROS;150.151;0,4;25.007;0,1
TOTAL;39.246.728;100;39.246.728;100
