Produtos Agrícolas;Área (ha) 2023;Área (ha) 2024;Var % Área;Produção (t) 2023;Produção (t) 2024;Var % Produção;Rendimento Médio (kg/ha) 2023;Rendimento Médio (kg/ha) 2024;Var % Rendimento Médio (kg/ha)
TOTAL;92 575 615;94 072 411;1.6;--;--;--;--;--;--
ALGODÃO HERBÁCEO (em caroço);1 745 853;2 027 769;16.1;7 733 764;8 866 378;14.6;4 430;4 372;-1.3
AMENDOIM (em casca) - TOTAL;232 264;277 556;19.5;862 821;793 832;-8.0;3 715;2 860;-23.0
AMENDOIM (em casca) 1ª safra;224 695;269 219;19.8;850 046;780 032;-8.2;3 783;2 897;-23.4
AMENDOIM (em casca) 2ª safra;7 569;8 337;10.1;12 775;13 800;8.0;1 688;1 655;-2.0
ARROZ (em casca);1 481 950;1 573 503;6.2;10 282 517;10 591 604;3.0;6 939;6 731;-3.0
AVEIA (em grão);520 459;513 979;-1.2;893 309;1 059 343;18.6;1 716;2 061;20.1
BANANA;454 732;461 153;1.4;6 862 774;6 995 034;1.9;15 092;15 169;0.5
BATATA-INGLESA - TOTAL;128 525;138 230;7.6;4 248 474;4 507 809;6.1;33 056;32 611;-1.3
BATATA-INGLESA 1ª safra ;58 286;58 655;0.6;1 817 157;1 745 460;-3.9;31 177;29 758;-4.6
BATATA-INGLESA 2ª safra;41 477;46 186;11.4;1 336 613;1 527 003;14.2;32 225;33 062;2.6
BATATA-INGLESA 3ª safra;28 762;33 389;16.1;1 094 704;1 235 346;12.8;38 061;36 999;-2.8
CACAU (em amêndoa);623 086;632 466;1.5;290 630;287 784;-1.0;466;455;-2.4
CAFÉ (em grão) - TOTAL;1 917 897;1 955 136;1.9;3 418 554;3 425 399;0.2;1 782;1 752;-1.7
CAFÉ (em grão) - ARÁBICA;1 506 775;1 549 490;2.8;2 367 777;2 401 279;1.4;1 571;1 550;-1.3
CAFÉ (em grão) - CANEPHORA;411 122;405 646;-1.3;1 050 777;1 024 120;-2.5;2 556;2 525;-1.2
CANA-DE-AÇÚCAR;8 971 673;9 219 524;2.8;713 293 700;706 720 425;-0.9;79 505;76 655;-3.6
CASTANHA-DE-CAJU;430 918;450 054;4.4;116 829;161 014;37.8;271;358;32.1
CEVADA (em grão);132 288;117 353;-11.3;379 455;416 239;9.7;2 868;3 547;23.7
FEIJÃO (em grão) - TOTAL;2 561 275;2 732 659;6.7;2 951 728;3 099 161;5.0;1 152;1 134;-1.6
FEIJÃO (em grão) 1ª safra;1 290 171;1 250 982;-3.0;976 489;894 234;-8.4;757;715;-5.5
FEIJÃO (em grão) 2ª safra;1 004 758;1 193 804;18.8;1 196 197;1 395 083;16.6;1 191;1 169;-1.8
FEIJÃO (em grão) 3ª safra;266 346;287 873;8.1;779 042;809 844;4.0;2 925;2 813;-3.8
FUMO (em folhas);324 407;329 677;1.6;694 895;626 649;-9.8;2 142;1 901;-11.3
LARANJA;574 156;524 086;-8.7;15 482 662;12 216 934;-21.1;26 966;23 311;-13.6
MAMONA (baga);48 854;52 565;7.6;33 556;31 717;-5.5;687;603;-12.2
MANDIOCA;1 236 053;1 231 516;-0.4;19 133 751;19 059 194;-0.4;15 480;15 476;-0.0
MILHO (em grão) - TOTAL;22 104 334;21 351 224;-3.4;131 085 011;114 703 192;-12.5;5 930;5 372;-9.4
MILHO (em grão) 1ª safra;5 173 335;4 676 634;-9.6;27 738 515;22 912 466;-17.4;5 362;4 899;-8.6
MILHO (em grão) 2ª safra;16 930 999;16 674 590;-1.5;103 346 496;91 790 726;-11.2;6 104;5 505;-9.8
SOJA (em grão);44 219 269;46 036 036;4.1;151 963 045;144 946 662;-4.6;3 437;3 149;-8.4
SORGO (em grão);1 321 481;1 330 201;0.7;4 307 118;3 985 503;-7.5;3 259;2 996;-8.1
TOMATE;55 767;61 686;10.6;3 915 209;4 666 924;19.2;70 207;75 656;7.8
TRIGO (em grão);3 388 386;2 956 080;-12.8;7 753 911;7 530 249;-2.9;2 288;2 547;11.3
TRITICALE (em grão);26 015;17 507;-32.7;61 437;43 729;-28.8;2 362;2 498;5.8
UVA;75 973;82 451;8.5;1 719 630;1 763 397;2.5;22 635;21 387;-5.5
;;;;;;;;;
FONTE: IBGE, Diretoria de Pesquisas, Coordenação Agropecuária, Levantamento Sistemático da Produção Agrícola, Dez/2024;;;;;;;;;
NOTAS: Para as Unidades da Federação que ainda não dispõem das estimativas iniciais, os dados correspondem à uma;;;;;;;;;
projeção obtida a partir das informações de anos anteriores;;;;;;;;;
